transcript_id,month,conversion_likelihood,reasoning,key_phases,prospect_keywords,emotions_detected,location,education,organization,date
100_20250213,Feb,0.5,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A,Agent maintained high confidence or relief near end","Q&A,Wrap","Electronics and Communication, engineering in Electronics, completed my B.Tech, B.Tech engineering, joined PwC India, sabbatical leave, year July, Electronics, language, quant, buy, strengths, planner, questions, mock, verbal, called number properties, number properties, questions, verbal, time, master comprehension, percentile, stage, medium cementing, cementing quizzes, hard cementing, quizzes are divided, cementing, quant, cementing and hard, categories, remain retain, months, Round, give, discount, remain, retain, open for application, college profiles, profiles, India, resources, Europe, research, share, college, yeah, mock test tomorrow, scholarship, colleges, test tomorrow, attend the mock, mock test, tomorrow","approval,gratitude,optimism,admiration,optimism,admiration,optimism",India,"engineering, b.tech","PwC India, UPSC, Electronics and Communication, GMAT, B.Tech, CAT","7 to 8 months, 2021, 11 months"
101_20250212,Feb,0.62,"Prospect showed positive emotion (hope or confidence or etc.) during wrap-up/Q&A,Low stress or confusion during price discussion,Agent maintained high confidence or relief near end","Q&A,Wrap,Price discussion","engineer by profession, basically an engineer, Equity Research Associate, BITS Pilari, Yeah, finance, engineering from BITS, Research Associate, IAM Kohli Code, Kohli Code finance, Code finance program, Yeah, IAM Kohli, Kohli Code, Indian programs, Indian, Yeah, pretty, felt, difficulty, clear, feel, questions, wordy, Yeah, thinking, fine, start, learn my process, force correction, yeah, happen, process, force, correction, focus, , Yeah","gratitude,optimism,optimism",No Info,"masters, engineering","GMAT, CFA L1, GMAC, PMS",No Info
102_20250212,Feb,0.5,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A,Agent maintained high confidence or relief near end","Q&A,Wrap","quant, quant part, Yeah, quant session, part, preparation, quant section, felt, Yeah, ISB Indian School, prime management, School of Business, ISB Indian, Indian School, guess, understand, Btech exams, yeah, exams, Btech, January, data insight questions, Data Insights, wrong, bit busy, busy with weekends, internship and certifications, yeah, bit, busy, weekends, internship, , Yeah, data, data insights, CSE student, insights, easy, CSE, felt data insights, Yeah, college, tomorrow, free, patient, felt very enthused, felt, enthused","approval,gratitude,admiration,optimism",No Info,No Info,GMAT,No Info
103_20250212,Feb,0.0,No Info,No Info,"corporate finance, teaching corporate finance, work in Rome, work, GMAT, good, university teaching corporate, apply, score, reading comprehension, app, good score, lot, reading, comprehension, Sentence, months, study, lot, person, study plan, beginners, GMAT, super intelligent questions, questions, files, Inference, quiz, Evaluate, types, quiz files, answer, ample practice, practice, ample, verbal, Monday through Saturday, 8:00 PM IST, IST, mentors, 8:00, Saturday, Monday, hours, ",No Info,"Rome, Milan",No Info,"IELTS, Business School, GMAT",No Info
104_20250212,Feb,0.62,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A,Low stress or confusion during price discussion,Agent maintained confidence or relief near end","Q&A,Wrap,Price discussion","Yeah, business laptop, laptop, business, Amruth, Yeah, yeah, Yeah, month, plan, month plan, bought, travel, work, start, Round, Yeah, weekly basis, weekly, basis, 11:50, hours, study weekly, Yeah, problem, ","approval,gratitude,optimism",No Info,No Info,No Info,No Info
105_20250215,Feb,0.5,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A,Agent maintained high confidence or relief near end","Q&A,Wrap","Yeah, years, working, experience, India, Yeah, videos, Amrit, test, Marks, gave cat, college like back, , Yeah, phase would work, Yeah, hours, phase, work, study, months, time, Yeah, start, good, plan to start, planning to start, occupied this weekend, week onwards, bit occupied, doubt solving, drop like kind, solving, email, drop, kind, doubts, doubt","approval,optimism,gratitude,optimism,optimism",No Info,No Info,No Info,around 6 years
106_20250215,Feb,0.62,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A,Low stress or confusion during price discussion,Agent maintained confidence or relief near end","Q&A,Wrap,Price discussion","Yeah, Yeah yeah, audible, fine, questions, eligible, graduation, time, pursue investment bank, pursue investment, yeah, nationalised bank, investment bank, India, bank, bank in India, Yeah, started preparing, Yeah easily, started, preparing, year, easily, giving, Yeah, videos, weeks, starting score, studied, month, improving, starting, yeah, current profile, nationalised bank, cleared, current, profile, working, nationalised, yeah, planning, start, tomorrow, planning to start, start from tomorrow, Amrut","approval,gratitude,gratitude,optimism",No Info,No Info,No Info,No Info
107_20250215,Feb,0.62,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A,Low stress or confusion during price discussion,Agent maintained confidence or relief near end","Q&A,Wrap,Price discussion","chance Mana, Mana to watch, time Yeah yeah, Yeah, addressing the time, Mana, time Yeah, shared Yeah, Yeah, Amruth, months, years, July, June, Saturday, Sunday, Yeah, percentile, support, works, mental support, basic, understanding, mental, Yeah, years, queries, work, call, call yeah, Yeah, fine Yeah, correct, fine, planning to start, start, Yeah, planning, plan, day, fine, Amrit Lal, Yeah","approval,approval,gratitude,optimism",No Info,No Info,No Info,No Info
108_20250216,Feb,0.38,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A,Agent maintained confidence or relief near end","Q&A,Wrap","completed my degree, financial department, library, completed, degree, working, financial, department, making a note, planner, verbal, MAT mock test, percentile, points, mock test, GMAT, pretty pretty jittery, pretty pretty, pretty jittery, pretty, MSR, jittery, questions, part, stage, quant, test readiness, test, quant test readiness, Yeah, readiness, quant test, stage, TPA stage, Multi source reasoning, important, Multi source, data sufficiency stage, source reasoning stage, Gmap, Yeah, achieve, ","approval,optimism,optimism",No Info,No Info,No Info,No Info
109_20250216,Feb,0.5,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A,Agent maintained high confidence or relief near end","Q&A,Wrap","highest educational qualification, Institute of Management, MBA, highest educational, educational qualification, Institute, Management, role specifically, GMAT official guide, official guide till, GMAT official, official guide, guide till, Yeah, GMAT, questions, Yeah, proper mock, minutes left, giving, mock, questions, giving this mock, sections, Yeah, fully familiar, concepts, fully, familiar, diagnostic, SEC, achieving, Yeah, Yeah, pretty, learning, adapts, level, good, run, pretty good, Yeah, start today, today, start, great, pretty, clarified","approval,approval,gratitude,optimism,optimism",Europe,No Info,Co Institute of Management,No Info
