transcript_id,timestamp,text,speaker
105,02:23,"Hey, , , you are on mute if you are talking.",unknown
105,02:32,Hello.,unknown
105,02:33,"Yeah, hi.",unknown
105,02:34,Hello.,unknown
105,02:35,"Yeah, .",unknown
105,02:36,"So, yeah, so we had a fair level first, you know, first level discussion in WhatsApp where you said you just starting your prep and want to take in the month of July.",agent
105,02:47,Yeah.,prospect
105,02:48,"So, so a couple of things I would like to ask is you are currently working Apna?",agent
105,02:53,"Yeah, I am currently working.",prospect
105,02:54,I have an experience of around 6 years.,prospect
105,02:58,"OK, OK, that's good.",agent
105,02:59,that's good.,agent
105,03:00,"And so, so I just want to understand you are looking for the round one application if I am not round one application for this year, right?",agent
105,03:11,"Yeah, round one application.",prospect
105,03:12,what's your target schools?,agent
105,03:14,My target schools are ISPI am also exploring the IIM.,prospect
105,03:20,"I am BGP, PGPX and also NCI at Singapore.",prospect
105,03:26,"OK, so majorly India is specific and then yeah, NCR is one option for you.",agent
105,03:32,Mostly I am going towards India.,prospect
105,03:35,"OK, understood.",agent
105,03:37,So even even say ISV offers up to 100% scholarship and wrong applications for the great team as go.,agent
105,03:44,"So you know, you have that, you know, right now at least you're not in the month of say April of May, You are at least the month of February so that you would have Apple Railway to actually, you know, prepare and get it started.",agent
105,03:58,"So before this, have you taken any test or no, just coming out of group.",agent
105,04:04,I haven't taken any test.,prospect
105,04:06,I gave cat when I was in college like back in 2018 and gotten percentile of 77 if I remember.,prospect
105,04:16,OK alright so so in this call I assume that you updated Naive 2 even you know you have done a basic research about eating right?,agent
105,04:27,But still I would like to give you an overview.,agent
105,04:30,"So, you know, before I give a complete understanding, I, I would be sharing you 2 short videos, very short videos which you have to watch to understand at a surface level in a very concentrated way that because it is in a very short video comprising of a lot of things.",agent
105,04:49,And when I after that you would have some questions invoked in you.,agent
105,04:53,"And when I explain you things, then it will be a bit more clearer rather than I am just maybe just directly started.",agent
105,04:59,"So I will send you that right now in that in the chat box, just, you know, check that out.",agent
105,05:08,I am just mentioning as video one and video 2 for that order.,agent
105,05:14,So I have send a video one.,agent
105,05:17,The video one is regarding the course overview and video 2 is regarding the mental support.,agent
105,05:22,We have a dedicated mental support for our program.,agent
