transcript_id,month,conversion_likelihood,reasoning,emotions_detected,location,education,organization,date,agent_emotions_with_score,agent_duration,agent_keywords,prospect_emotions_with_score,prospect_duration,prospect_keywords,start_end_time,agent_vs_prospect_num
100_20250213,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","approval,gratitude,optimism,admiration,optimism,realization,optimism",India,"b.tech, engineering","UPSC, GMAT, GP, Indian School of Business, CAT, B.Tech, EG Mat, Electronics and Communication, Manhattan Review, PwC India","2021, 11 months, 7 to 8 months","Introduction: admiration - 0.72, curiosity - 0.97
Prospect’s performance: approval - 0.46, curiosity - 0.32
Agent drawing up plan: neutral - 0.99
Explaining product: realization - 0.38
Price discussion: caring - 0.39, optimism - 0.65, neutral - 0.33
Q&A: approval - 0.98
Wrap: admiration - 0.74, approval - 0.94, optimism - 0.81","Introduction: 21
Prospect’s performance: 107
Agent drawing up plan: 161
Explaining product: 271
Price discussion: 68
Q&A: 56
Wrap: 26","Introduction: GMAT Club, India, GMAT, MAT, Correct, IIMA and IIMC, familiar, Club
Prospect’s performance: GMAT, yeah, planner, mock, good, verbal, mocks, GMAT Club
Agent drawing up plan: questions, verbal, Stage, module, answer, quant, topics, verbal questions
Explaining product: Stage, questions, cementing, quant, quizzes, hard cementing, cementing quizzes, question
Price discussion: month, extension, start, mock, month extension, round, extensions, month extension costs
Q&A: Yeah, good, profile, round, correct, cutoff for filing, absolutely, happen
Wrap: admission consultants, professional consultants, consultants, Mat will eventually, GMAT, yeah, things happen, Indian","Introduction: realization - 0.82, neutral - 0.94
Prospect’s performance: neutral - 1.0
Agent drawing up plan: admiration - 0.95, curiosity - 0.49, optimism - 0.86
Explaining product: approval - 0.43, curiosity - 0.65, optimism - 0.87
Price discussion: approval - 0.41, curiosity - 0.92, optimism - 0.9
Q&A: approval - 0.38, curiosity - 0.52
Wrap: admiration - 0.51, gratitude - 1.0, optimism - 0.48","Introduction: 21
Prospect’s performance: 20
Agent drawing up plan: 8
Explaining product: 25
Price discussion: 17
Q&A: 29
Wrap: 16","Introduction: Electronics and Communication, engineering in Electronics, completed my B.Tech, B.Tech engineering, joined PwC India, CAT, year July, sabbatical leave
Prospect’s performance: Yeah, Calcutta, Richila Manit Akono, Manit Akono Archie, GMAT, Sham Bazaar, Shasham Bazaar, correct
Agent drawing up plan: MAP, mock, mock test, giving the mock, attain the mock, years, give the mock, working
Explaining product: yeah, concepts, quant, hours, verbal, achieve, months, targeting
Price discussion: month, thing, test, round, yeah, discount, correct, months
Q&A: IIMA and IIMC, year MBA, Yeah, MBA, good, India, year, IIMA
Wrap: yeah, MAT, Bye, institute in India, provided, score, India, Sumanthir","Introduction: 00:00:02 - 00:04:02
Prospect’s performance: 00:04:16 - 00:15:26
Agent drawing up plan: 00:15:29 - 00:32:19
Explaining product: 00:32:24 - 01:00:46
Price discussion: 01:00:52 - 01:08:05
Q&A: 01:08:12 - 01:14:54
Wrap: 01:15:04 - 01:17:17","Introduction: 1
Prospect’s performance: 5
Agent drawing up plan: 20
Explaining product: 10
Price discussion: 4
Q&A: 1
Wrap: 1"
101_20250212,Feb,0.8,"Prospect showed positive emotion (hope or confidence or etc.) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","gratitude,optimism,optimism,optimism,realization,optimism",No Info,"engineering, masters","PMS, GMAC, CFA L1",about 1 1/2 years,"Introduction: admiration - 1.0
Prospect’s performance: curiosity - 0.92, neutral - 0.74
Agent drawing up plan: approval - 0.48, neutral - 0.57
Explaining product: optimism - 0.96, realization - 0.38
Price discussion: approval - 0.79, optimism - 0.89
Q&A: caring - 0.77, optimism - 0.73
Wrap: caring - 0.9, optimism - 0.6, neutral - 0.55","Introduction: 22
Prospect’s performance: 93
Agent drawing up plan: 142
Explaining product: 277
Price discussion: 79
Q&A: 80
Wrap: 38","Introduction: plans with GMAT, GMAT, Awesome, Yeah, stocks, plans, target score, target score Ranka
Prospect’s performance: questions, section, Rajat, yeah, time, score, easy questions, sections
Agent drawing up plan: medium, questions, question, medium hard, Yeah, medium hard questions, easy, hard
Explaining product: Stage, verbal, quant, time, questions, files, arithmetic, concepts
Price discussion: stage, cementing, cementing quiz, quiz, quizzes, time, modules, questions
Q&A: stage, time, quant, quant basics, diagnostic, questions, number properties, basics
Wrap: mile push experts, push experts, mile push, plan, program, experts, mentor, LMP experts","Introduction: desire - 0.8
Prospect’s performance: curiosity - 0.91
Agent drawing up plan: approval - 0.99
Explaining product: approval - 0.95, curiosity - 0.48
Price discussion: curiosity - 0.99
Q&A: admiration - 0.83, disapproval - 0.37
Wrap: gratitude - 1.0","Introduction: 20
Prospect’s performance: 31
Agent drawing up plan: 24
Explaining product: 13
Price discussion: 4
Q&A: 3
Wrap: 4","Introduction: engineer by profession, basically an engineer, Equity Research Associate, BITS Pilari, finance, engineering from BITS, Research Associate, Equity Research
Prospect’s performance: IAM Kohli Code, Kohli Code finance, Yeah, Code finance program, IAM Kohli, Kohli Code, Indian programs, Indian
Agent drawing up plan: Yeah, pretty, fine, felt, difficulty, works, test, strengths
Explaining product: Yeah, question, Gita, thinking, doubt, correct, fine, issue
Price discussion: learn my process, force correction, happen, process, yeah, force, correction, focus
Q&A: full time starting, time, full time, time starting, good, full, starting, point
Wrap: Bye, Yeah","Introduction: 00:00:02 - 00:02:39
Prospect’s performance: 00:02:39 - 00:11:15
Agent drawing up plan: 00:11:18 - 00:20:47
Explaining product: 00:20:49 - 00:43:01
Price discussion: 00:43:07 - 00:50:03
Q&A: 00:50:08 - 00:56:19
Wrap: 00:56:24 - 00:58:49","Introduction: 1
Prospect’s performance: 3
Agent drawing up plan: 5
Explaining product: 21
Price discussion: 19
Q&A: 26
Wrap: 9"
102_20250212,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","optimism,realization,approval,gratitude,admiration,optimism,optimism",No Info,No Info,GMAT,515515,"Introduction: curiosity - 0.99
Prospect’s performance: curiosity - 0.93, neutral - 0.31
Agent drawing up plan: admiration - 0.86, curiosity - 0.37
Explaining product: approval - 0.84, curiosity - 0.45, optimism - 0.86
Price discussion: neutral - 1.0
Q&A: admiration - 0.87, neutral - 0.77
Wrap: approval - 0.98, caring - 0.7, optimism - 0.49","Introduction: 18
Prospect’s performance: 83
Agent drawing up plan: 123
Explaining product: 243
Price discussion: 69
Q&A: 63
Wrap: 29","Introduction: mute, scores, test, remember, score, Magoosh, Suranda, Quan
Prospect’s performance: GMAT Focus, Yeah, GMAT, YLP, Verbal, test, Focus, part
Agent drawing up plan: Data Insights, Data, verbal, yeah, questions, Quant, Insights, score
Explaining product: Stage, questions, concepts, module, quizzes, quiz, start, concept
Price discussion: cementing, time, stage, questions, quizzes, medium, ultimately closing, creating mistake
Q&A: LMP, mile push program, mile push, planner, stage, quant, LMP team, test
Wrap: free program, LMP, extra cost, program, day, study, two-month, USD","Introduction: approval - 0.69, realization - 0.97
Prospect’s performance: approval - 0.45, realization - 0.97
Agent drawing up plan: confusion - 1.0
Explaining product: confusion - 0.98, optimism - 0.35, realization - 0.47
Price discussion: confusion - 0.94, curiosity - 0.33, disappointment - 0.74
Q&A: optimism - 0.99, realization - 0.32
Wrap: approval - 0.47, excitement - 0.37, gratitude - 1.0","Introduction: 19
Prospect’s performance: 27
Agent drawing up plan: 23
Explaining product: 13
Price discussion: 4
Q&A: 10
Wrap: 7","Introduction: Yeah, quant, quant part, easy, ma'am, minute, part, felt
Prospect’s performance: prime management, ISB Indian School, nice, prime, management, reading part, ISB Indian, ISB
Agent drawing up plan: Btech exams, exams, yeah, Btech, January, Data, guess, wrong
Explaining product: bit busy, busy with weekends, internship and certifications, yeah, March, March and April, bit, busy
Price discussion: giving cementing quiz, cementing quiz, giving cementing, quiz, successfully, mock successfully, giving, cementing
Q&A: good sections, data insights, data, yeah, CSE student, felt data insights, sections, dealing
Wrap: Yeah, wanted, college, tomorrow, free, month, months, felt very enthused","Introduction: 00:00:04 - 00:02:39
Prospect’s performance: 00:02:44 - 00:10:36
Agent drawing up plan: 00:10:41 - 00:20:43
Explaining product: 00:20:44 - 00:43:23
Price discussion: 00:43:26 - 00:49:42
Q&A: 00:49:46 - 00:56:18
Wrap: 00:56:20 - 00:58:29","Introduction: 0
Prospect’s performance: 3
Agent drawing up plan: 5
Explaining product: 18
Price discussion: 17
Q&A: 6
Wrap: 4"
103_20250212,Feb,0.5,"Prospect showed positive emotion (hope or confidence or etc.) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","gratitude,optimism,optimism","Milan, Rome, US",No Info,"Business School, GMAT, G Mac, IELTS",1 five days ago,"Introduction: approval - 0.99
Prospect’s performance: admiration - 0.33, optimism - 0.63
Agent drawing up plan: curiosity - 0.48
Explaining product: gratitude - 0.99, optimism - 0.31
Price discussion: neutral - 0.98
Q&A: curiosity - 0.62, neutral - 0.75
Wrap: approval - 0.64, optimism - 0.53, neutral - 0.46","Introduction: 17
Prospect’s performance: 94
Agent drawing up plan: 114
Explaining product: 252
Price discussion: 72
Q&A: 67
Wrap: 33","Introduction: clients outside Rome, Rome, Italy, Gotcha, top MBA schools, MBA, Europe, clients
Prospect’s performance: score, data, questions, verbal, GMAT, data insights, quant, yeah
Agent drawing up plan: medium and hard, study, GMAT, score, hard questions, person, questions, IELTS
Explaining product: questions, stage, concepts, question, quiz, score, learning, module
Price discussion: stage, sectional mocks, passages, mocks, sectional, quant, Pace View, mentor
Q&A: Data sufficiency stage, stage, data sufficiency, cost, sufficiency stage, data, month, Gita stage
Wrap: Coach Connect, Coach Coach Connect, Coach, Coach Connect live, live, free Coach Coach, unique live sessions, Coach Coach","Introduction: desire - 0.85, optimism - 0.39, neutral - 0.81
Prospect’s performance: confusion - 0.68, realization - 0.78
Agent drawing up plan: 
Explaining product: curiosity - 0.76, realization - 0.77
Price discussion: confusion - 0.94, curiosity - 0.32
Q&A: confusion - 0.49, remorse - 0.34
Wrap: gratitude - 1.0","Introduction: 21
Prospect’s performance: 21
Agent drawing up plan: 40
Explaining product: 17
Price discussion: 5
Q&A: 10
Wrap: 6","Introduction: corporate finance, teaching corporate finance, work in Rome, work, GMAT, good, university teaching corporate, apply
Prospect’s performance: high high points, Business School, high high, high, high points, good scores, School, Business
Agent drawing up plan: yeah, IELTS, evening, study, time, end of July, day, studying
Explaining product: scholarships, heard, Yeah, connect, mobile, lesson, official, lasting four months
Price discussion: yeah, structured, decide, hours, time, mock, stage, successfully
Q&A: yeah, 8:00 PM IST, attempt, Monday through Saturday, IST, day, month, gave her exam
Wrap: kind of school, school, kind, yeah, Shradha, quant, verbal, classes","Introduction: 00:00:03 - 00:03:32
Prospect’s performance: 00:03:34 - 00:13:54
Agent drawing up plan: 00:14:02 - 00:28:50
Explaining product: 00:28:58 - 00:52:31
Price discussion: 00:52:36 - 00:58:46
Q&A: 00:58:55 - 01:04:20
Wrap: 01:04:21 - 01:06:40","Introduction: 0
Prospect’s performance: 4
Agent drawing up plan: 2
Explaining product: 14
Price discussion: 14
Q&A: 6
Wrap: 5"
104_20250212,Feb,0.6,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained confidence or relief near end, Agent invested justifiable time in product explanation phases, and prospect's engagement in Q&A/performance discussion was more","approval,gratitude,gratitude,optimism",No Info,No Info,WhatsApp,No Info,"Introduction: curiosity - 0.83, neutral - 0.87
Prospect’s performance: neutral - 0.92
Agent drawing up plan: neutral - 0.98
Explaining product: neutral - 1.0
Price discussion: approval - 0.99
Q&A: approval - 0.68, optimism - 0.84
Wrap: caring - 0.52, curiosity - 1.0","Introduction: 7
Prospect’s performance: 29
Agent drawing up plan: 46
Explaining product: 64
Price discussion: 17
Q&A: 18
Wrap: 5","Introduction: chance to watch, watch the videos, live class, checking, live class option, Hey, shared, chance
Prospect’s performance: percentile, questions, score, fundamental understanding, give, videos, yeah, solve
Agent drawing up plan: time, data, mentor, GMAT, lot of students, questions, standard process, GMAT Club
Explaining product: days, live class, class, months, life class, month, freeze, give
Price discussion: schools, give, good choice, good, mentor, Yeah, mock, time
Q&A: thing Alright, discount, purchase tomorrow give, ready to purchase, Alright, give, Alright so yeah, planning to purchase
Wrap: mock, Happy, reach, score and give, input, score, give, Alright","Introduction: curiosity - 0.92, optimism - 0.36
Prospect’s performance: approval - 1.0
Agent drawing up plan: approval - 0.96
Explaining product: confusion - 0.42, curiosity - 0.98
Price discussion: approval - 0.99
Q&A: approval - 0.78, gratitude - 0.99
Wrap: gratitude - 1.0","Introduction: 5
Prospect’s performance: 7
Agent drawing up plan: 2
Explaining product: 18
Price discussion: 7
Q&A: 6
Wrap: 7","Introduction: Amruth, Yeah, laptop, business laptop, class, phone, phone Yeah, video or link
Prospect’s performance: Alright, Shivam, Yeah, Amruth, correct, tech, comprehensive, video
Agent drawing up plan: chat pindu, coming back, point why chat, pindu, yeah, coming, back, point
Explaining product: Yeah, month, plan, month plan, audible, bought, travel, work
Price discussion: game altogether, freezing the count, weekly basis, study weekly basis, Round, yeah, 11:50 hour, altogether
Q&A: Yeah, Amruth, question, problem, join, detailed, discussion, detailed discussion
Wrap: Bye, mock, access, logged","Introduction: 00:00:05 - 00:01:48
Prospect’s performance: 00:01:51 - 00:24:13
Agent drawing up plan: 00:24:18 - 00:29:09
Explaining product: 00:29:19 - 00:36:23
Price discussion: 00:36:25 - 00:38:57
Q&A: 00:39:01 - 00:40:57
Wrap: 00:40:58 - 00:41:18","Introduction: 1
Prospect’s performance: 4
Agent drawing up plan: 23
Explaining product: 3
Price discussion: 2
Q&A: 3
Wrap: 0"
105_20250215,Feb,0.6,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained confidence or relief near end","approval,optimism,gratitude,optimism",No Info,No Info,IIM,around 6 years,"Introduction: admiration - 0.36, curiosity - 0.98
Prospect’s performance: approval - 0.42, curiosity - 0.78, desire - 0.38, optimism - 0.98
Agent drawing up plan: neutral - 0.99
Explaining product: neutral - 0.99
Price discussion: neutral - 0.56
Q&A: neutral - 0.96
Wrap: approval - 0.35, optimism - 0.63","Introduction: 10
Prospect’s performance: 36
Agent drawing up plan: 65
Explaining product: 110
Price discussion: 27
Q&A: 26
Wrap: 13","Introduction: Yeah, month of July, round one application, Hey, talking, round, application, July
Prospect’s performance: India is specific, majorly India, video, yeah, NCR, India, short videos, videos
Agent drawing up plan: minutes, minute push program, questions, GMAT unlike CAT, Phase, minute push, time, GMAT
Explaining product: live class, live, class, things, back to academics, data, files, dedicated
Price discussion: generally life class, life class, live class, majorly students, class and majorly, class, time, ample time
Q&A: slash slash kind, slash slash, slash kind, slash, give, make, things, thing
Wrap: doubt, Bye, forum, Friday, simply, questions, separate forum, video","Introduction: approval - 0.69, neutral - 0.98
Prospect’s performance: approval - 0.98, realization - 0.37
Agent drawing up plan: neutral - 0.99
Explaining product: approval - 0.96
Price discussion: curiosity - 0.32, optimism - 0.85
Q&A: approval - 0.71, curiosity - 0.89, optimism - 0.61
Wrap: gratitude - 1.0","Introduction: 4
Prospect’s performance: 12
Agent drawing up plan: 0
Explaining product: 4
Price discussion: 6
Q&A: 7
Wrap: 4","Introduction: Yeah, exploring the IIM, years, IIM, working, ISPI, schools are ISPI, experience
Prospect’s performance: NCI at Singapore, BGP, PGPX, Singapore, NCI, Yeah, India, videos
Agent drawing up plan: 
Explaining product: showing quad, quad, Yeah, showing, plans and pricing, give, plans, pricing
Price discussion: phase would work, extension, Yeah, days, hours, months, phase, work
Q&A: Yeah, good, start, group, Telegram group, Telegram, plan to start, planning to start
Wrap: doubt solving, drop like kind, solving, email, drop, kind, doubts, doubt","Introduction: 00:02:23 - 00:03:14
Prospect’s performance: 00:03:20 - 00:20:42
Agent drawing up plan: 00:20:46 - 00:27:03
Explaining product: 00:27:14 - 00:38:00
Price discussion: 00:38:03 - 00:40:42
Q&A: 00:40:52 - 00:42:51
Wrap: 00:42:57 - 00:43:47","Introduction: 2
Prospect’s performance: 3
Agent drawing up plan: 65
Explaining product: 27
Price discussion: 4
Q&A: 3
Wrap: 3"
106_20250215,Feb,0.5,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion","approval,gratitude",No Info,No Info,No Info,No Info,"Introduction: gratitude - 0.99
Prospect’s performance: neutral - 0.99
Agent drawing up plan: neutral - 1.0
Explaining product: caring - 0.89
Price discussion: neutral - 0.99
Q&A: approval - 0.4, curiosity - 0.31, gratitude - 1.0
Wrap: gratitude - 0.99","Introduction: 4
Prospect’s performance: 30
Agent drawing up plan: 38
Explaining product: 68
Price discussion: 17
Q&A: 18
Wrap: 9","Introduction: Yeah yeah yeah, Yeah yeah, work Yeah yeah, Yeah, mute, Hey I good, good, work Yeah
Prospect’s performance: Sappar Gmatch score, GMAT, GMAT score, Gmatch score, score, Sappar Gmatch, academics, abroad NCRHC Paris
Agent drawing up plan: Yeah, GMAT, high, London Business School, videos, watch, median, score
Explaining product: time, mile push program, mile push, Yeah, journey, questions, data, push program
Price discussion: score, GMAT, yeah, Save score, minimum, Save, add, find
Q&A: Yeah, target, mock, week, start, planning, tomorrow, give
Wrap: yeah, tomorrow, bye, bye bye, service, guidance, bye bye bye, students","Introduction: approval - 0.34, curiosity - 0.98
Prospect’s performance: approval - 0.88, desire - 0.79
Agent drawing up plan: approval - 0.93, optimism - 0.92
Explaining product: approval - 0.72, curiosity - 0.47
Price discussion: curiosity - 0.98, optimism - 0.32
Q&A: approval - 1.0
Wrap: gratitude - 0.99","Introduction: 7
Prospect’s performance: 2
Agent drawing up plan: 5
Explaining product: 6
Price discussion: 4
Q&A: 3
Wrap: 2","Introduction: Yeah, Yeah yeah, audible, fine, questions, eligible, graduation, time
Prospect’s performance: pursue investment bank, pursue investment, nationalised bank, investment bank, yeah, India, bank, bank in India
Agent drawing up plan: London Business School, Business School, London Business, School, London, Business, Yeah, started preparing
Explaining product: Yeah, alright, Ritu, user interface, videos, weeks, interface, studied
Price discussion: top B school, minimum score, secure a seat, seat in top, yeah, school, minimum, score
Q&A: yeah, touch, planning, start, tomorrow, planning to start, start from tomorrow
Wrap: wanted to confirm, commit, wanted, confirm, Amrut","Introduction: 00:00:07 - 00:01:06
Prospect’s performance: 00:01:15 - 00:04:44
Agent drawing up plan: 00:04:46 - 00:08:11
Explaining product: 00:08:12 - 00:25:41
Price discussion: 00:25:48 - 00:27:33
Q&A: 00:27:38 - 00:28:39
Wrap: 00:28:58 - 00:29:47","Introduction: 0
Prospect’s performance: 15
Agent drawing up plan: 7
Explaining product: 11
Price discussion: 4
Q&A: 6
Wrap: 4"
107_20250215,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent catered to the prospect needs with clarity during product explanation","approval,gratitude,optimism",No Info,No Info,No Info,No Info,"Introduction: neutral - 0.99
Prospect’s performance: approval - 0.93, optimism - 0.81
Agent drawing up plan: admiration - 0.31, optimism - 0.98
Explaining product: neutral - 1.0
Price discussion: caring - 0.58, neutral - 0.92
Q&A: curiosity - 0.98
Wrap: caring - 0.97","Introduction: 16
Prospect’s performance: 40
Agent drawing up plan: 77
Explaining product: 124
Price discussion: 35
Q&A: 33
Wrap: 14","Introduction: video, Teams chat, give, Teams, call, chat, watch, videos
Prospect’s performance: Yeah, hours, good, push, watch, minute, continue, giving
Agent drawing up plan: questions, time, Phase, target, percentile, test, solve, Correct
Explaining product: video, students, class, videos, live class, live, people, life class
Price discussion: stage, yeah, Phase, warning, part, end, work, give
Q&A: card, beginning to understand, yeah, planning to start, Visa, conversion, charge, planning
Wrap: Yeah, message, give, expect, Alright, care","Introduction: approval - 0.89, gratitude - 0.99
Prospect’s performance: approval - 0.77, curiosity - 0.88
Agent drawing up plan: approval - 0.99, neutral - 0.57
Explaining product: curiosity - 0.99
Price discussion: approval - 1.0
Q&A: approval - 0.99
Wrap: gratitude - 0.99","Introduction: 4
Prospect’s performance: 20
Agent drawing up plan: 5
Explaining product: 19
Price discussion: 6
Q&A: 8
Wrap: 7","Introduction: chance Mana, Mana to watch, time Yeah yeah, Yeah, addressing the time, Mana, time Yeah, shared Yeah
Prospect’s performance: Yeah, video, shared is video, Friday, shared, reshare, months, years
Agent drawing up plan: Yeah, mental support, support, works, basic understanding, basic, understanding, mental
Explaining product: Yeah, video, start, life, years, verbal, videos, life class
Price discussion: fine Yeah, Yeah, correct, fine, mental support, basically, modules, stage
Q&A: Yeah, start, planning to start, Visa card, Visa, card, fine, planning
Wrap: Bye, doubt, message by tomorrow, tomorrow, expect, message, expect a message","Introduction: 00:00:02 - 00:01:43
Prospect’s performance: 00:01:44 - 00:23:00
Agent drawing up plan: 00:23:01 - 00:30:52
Explaining product: 00:31:05 - 00:43:15
Price discussion: 00:43:18 - 00:46:21
Q&A: 00:46:24 - 00:49:03
Wrap: 00:49:07 - 00:49:23","Introduction: 4
Prospect’s performance: 2
Agent drawing up plan: 15
Explaining product: 6
Price discussion: 5
Q&A: 4
Wrap: 2"
108_20250216,Feb,0.5,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Agent maintained confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","approval,gratitude,optimism,optimism",No Info,No Info,No Info,No Info,"Introduction: admiration - 1.0
Prospect’s performance: curiosity - 0.97
Agent drawing up plan: neutral - 0.94
Explaining product: gratitude - 0.88, neutral - 0.5
Price discussion: approval - 0.53, optimism - 0.31, neutral - 0.81
Q&A: approval - 0.74, caring - 0.34, optimism - 0.48, neutral - 0.4
Wrap: gratitude - 0.99","Introduction: 24
Prospect’s performance: 102
Agent drawing up plan: 144
Explaining product: 258
Price discussion: 80
Q&A: 76
Wrap: 29","Introduction: score, Sheetal, year, procurement and finance, GMAP score, mind, plan, target
Prospect’s performance: verbal, planner, GMAT, score, percentile, quant, Sheetal, questions
Agent drawing up plan: verbal, questions, time, yeah, MSR, start, Sheetal, passage
Explaining product: Stage, questions, question, quiz, test, quizzes, process, quant
Price discussion: stage, TPA stage, cementing stage, quant, source reasoning stage, sectional, questions, cementing
Q&A: stage, LMP, Sheetal, GMAT, questions, time, month, GMAT skill diagnostic
Wrap: LMP experts, faced while reaching, LNP expert, challenges, LMP, LNP, milestones, LMP program","Introduction: approval - 0.92, realization - 0.33
Prospect’s performance: approval - 0.35, gratitude - 0.99
Agent drawing up plan: approval - 0.71, gratitude - 0.96, optimism - 0.52
Explaining product: admiration - 0.55, confusion - 0.91, curiosity - 0.99, gratitude - 0.97
Price discussion: approval - 0.96, neutral - 0.42
Q&A: neutral - 0.95
Wrap: approval - 0.31, gratitude - 1.0","Introduction: 17
Prospect’s performance: 21
Agent drawing up plan: 20
Explaining product: 29
Price discussion: 2
Q&A: 6
Wrap: 13","Introduction: completed my degree, financial department, June, Yeah, library, completed, degree, working
Prospect’s performance: July end, September intake, July, apply in June, September, end because September, intake, yeah
Agent drawing up plan: Yeah, pie chart, May. Yeah, pie, chart, average, problem, fine
Explaining product: Yeah, concept, question, doubt, process, questions, mentally exhausted, time
Price discussion: Yeah, questions
Q&A: yeah, cleared, knew, month, side, two-month, access, wanted
Wrap: LMP expert, start working, target score, LMP, working, Yeah, Yep, forward","Introduction: 00:00:02 - 00:02:23
Prospect’s performance: 00:02:29 - 00:12:51
Agent drawing up plan: 00:12:55 - 00:25:15
Explaining product: 00:25:17 - 00:52:22
Price discussion: 00:52:32 - 00:59:26
Q&A: 00:59:28 - 01:06:37
Wrap: 01:06:55 - 01:09:28","Introduction: 1
Prospect’s performance: 4
Agent drawing up plan: 7
Explaining product: 8
Price discussion: 40
Q&A: 12
Wrap: 2"
109_20250216,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","approval,approval,gratitude,optimism,optimism,optimism",Europe,No Info,"Co Institute of Management, GMAT, HCL Tech",2025,"Introduction: admiration - 0.77, approval - 0.79, curiosity - 0.57, optimism - 0.81
Prospect’s performance: approval - 0.33, curiosity - 0.99
Agent drawing up plan: neutral - 1.0
Explaining product: neutral - 0.99
Price discussion: approval - 0.91, optimism - 0.33, neutral - 0.82
Q&A: approval - 0.71, optimism - 0.95
Wrap: approval - 0.8, gratitude - 0.99, optimism - 0.3","Introduction: 24
Prospect’s performance: 97
Agent drawing up plan: 142
Explaining product: 256
Price discussion: 76
Q&A: 68
Wrap: 28","Introduction: CRM systems, CRM, CRM platforms, hours, systems, good, time, Makes sense
Prospect’s performance: time, Yeah, question, good, makes sense, questions, quant, areas
Agent drawing up plan: time, questions, question, medium, stage, approach, fix, quant
Explaining product: quant, time, verbal, hours, score, point, move, study plan
Price discussion: sectional mocks, quant, sectional, mocks, topic, question, verbal, area
Q&A: yeah, mentor, study plan, plan, back, assigned mentor Redda, study, mentor Redda
Wrap: Master comprehension, verbal basics, plan, comprehension, Master, created, share, reply back","Introduction: approval - 1.0
Prospect’s performance: admiration - 0.52, approval - 0.99, realization - 0.76
Agent drawing up plan: approval - 0.93, realization - 0.72
Explaining product: confusion - 0.41, curiosity - 0.91, optimism - 0.69
Price discussion: approval - 0.94, neutral - 0.51
Q&A: admiration - 0.64, approval - 0.93
Wrap: admiration - 0.89, approval - 0.33, curiosity - 0.56, gratitude - 1.0","Introduction: 15
Prospect’s performance: 21
Agent drawing up plan: 15
Explaining product: 19
Price discussion: 2
Q&A: 10
Wrap: 12","Introduction: highest educational qualification, highest educational, educational qualification, MBA, Institute of Management, role specifically, Management, Institute
Prospect’s performance: questions, point of preparation, solve, solve the questions, preparation till, GMAT official guide, time, official guide till
Agent drawing up plan: Yeah, questions, time, question, perfect, giving, mock, feel
Explaining product: Yeah makes sense, makes sense, Yeah, Yeah makes, correct, sense, till, makes
Price discussion: Yeah
Q&A: level of learning, yeah, pretty, pretty good, learning, adapts, level, plan
Wrap: Yeah, start today, today, start, recording, great, pretty, thing","Introduction: 00:00:02 - 00:02:24
Prospect’s performance: 00:02:28 - 00:09:55
Agent drawing up plan: 00:09:57 - 00:21:58
Explaining product: 00:22:02 - 00:40:37
Price discussion: 00:40:45 - 00:46:04
Q&A: 00:46:09 - 00:49:37
Wrap: 00:49:50 - 00:51:09","Introduction: 1
Prospect’s performance: 4
Agent drawing up plan: 9
Explaining product: 13
Price discussion: 38
Q&A: 6
Wrap: 2"
