transcript_id,month,conversion_likelihood,reasoning,key_phases,prospect_keywords,emotions_detected,location,education,organization,date
100_20250213,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Price discussion,Agent drawing up plan,Explaining product,Price discussion","Electronics and Communication, engineering in Electronics, completed my B.Tech, B.Tech engineering, joined PwC India, CAT, year July, sabbatical leave, Yeah, Calcutta, Richila Manit Akono, Manit Akono Archie, GMAT, Sham Bazaar, Shasham Bazaar, correct, MAP, mock, mock test, giving the mock, attain the mock, years, give the mock, working, yeah, concepts, quant, hours, verbal, achieve, months, targeting, month, thing, test, round, yeah, discount, correct, months, IIMA and IIMC, year MBA, Yeah, MBA, good, India, year, IIMA, yeah, MAT, Bye, institute in India, provided, score, India, Sumanthir","approval,gratitude,optimism,admiration,optimism,realization,optimism",India,"b.tech, engineering","UPSC, GMAT, GP, Indian School of Business, CAT, B.Tech, EG Mat, Electronics and Communication, Manhattan Review, PwC India","2021, 11 months, 7 to 8 months"
101_20250212,Feb,0.8,"Prospect showed positive emotion (hope or confidence or etc.) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Price discussion,Price discussion,Agent drawing up plan,Explaining product,Price discussion","engineer by profession, basically an engineer, Equity Research Associate, BITS Pilari, finance, engineering from BITS, Research Associate, Equity Research, IAM Kohli Code, Kohli Code finance, Yeah, Code finance program, IAM Kohli, Kohli Code, Indian programs, Indian, Yeah, pretty, fine, felt, difficulty, works, test, strengths, Yeah, question, Gita, thinking, doubt, correct, fine, issue, learn my process, force correction, happen, process, yeah, force, correction, focus, full time starting, time, full time, time starting, good, full, starting, point, Bye, Yeah","gratitude,optimism,optimism,optimism,realization,optimism",No Info,"engineering, masters","PMS, GMAC, CFA L1",about 1 1/2 years
102_20250212,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Prospect’s performance,Agent drawing up plan,Explaining product,Price discussion","Yeah, quant, quant part, easy, ma'am, minute, part, felt, prime management, ISB Indian School, nice, prime, management, reading part, ISB Indian, ISB, Btech exams, exams, yeah, Btech, January, Data, guess, wrong, bit busy, busy with weekends, internship and certifications, yeah, March, March and April, bit, busy, giving cementing quiz, cementing quiz, giving cementing, quiz, successfully, mock successfully, giving, cementing, good sections, data insights, data, yeah, CSE student, felt data insights, sections, dealing, Yeah, wanted, college, tomorrow, free, month, months, felt very enthused","optimism,realization,approval,gratitude,admiration,optimism,optimism",No Info,No Info,GMAT,515515
103_20250212,Feb,0.5,"Prospect showed positive emotion (hope or confidence or etc.) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Prospect’s performance,Agent drawing up plan,Explaining product,Price discussion","corporate finance, teaching corporate finance, work in Rome, work, GMAT, good, university teaching corporate, apply, high high points, Business School, high high, high, high points, good scores, School, Business, yeah, IELTS, evening, study, time, end of July, day, studying, scholarships, heard, Yeah, connect, mobile, lesson, official, lasting four months, yeah, structured, decide, hours, time, mock, stage, successfully, yeah, 8:00 PM IST, attempt, Monday through Saturday, IST, day, month, gave her exam, kind of school, school, kind, yeah, Shradha, quant, verbal, classes","gratitude,optimism,optimism","Milan, Rome, US",No Info,"Business School, GMAT, G Mac, IELTS",1 five days ago
104_20250212,Feb,0.6,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained confidence or relief near end, Agent invested justifiable time in product explanation phases, and prospect's engagement in Q&A/performance discussion was more","Q&A,Wrap,Price discussion","Amruth, Yeah, laptop, business laptop, class, phone, phone Yeah, video or link, Alright, Shivam, Yeah, Amruth, correct, tech, comprehensive, video, chat pindu, coming back, point why chat, pindu, yeah, coming, back, point, Yeah, month, plan, month plan, audible, bought, travel, work, game altogether, freezing the count, weekly basis, study weekly basis, Round, yeah, 11:50 hour, altogether, Yeah, Amruth, question, problem, join, detailed, discussion, detailed discussion, Bye, mock, access, logged","approval,gratitude,gratitude,optimism",No Info,No Info,WhatsApp,No Info
105_20250215,Feb,0.6,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained confidence or relief near end","Q&A,Wrap,Price discussion,Price discussion","Yeah, exploring the IIM, years, IIM, working, ISPI, schools are ISPI, experience, NCI at Singapore, BGP, PGPX, Singapore, NCI, Yeah, India, videos, , showing quad, quad, Yeah, showing, plans and pricing, give, plans, pricing, phase would work, extension, Yeah, days, hours, months, phase, work, Yeah, good, start, group, Telegram group, Telegram, plan to start, planning to start, doubt solving, drop like kind, solving, email, drop, kind, doubts, doubt","approval,optimism,gratitude,optimism",No Info,No Info,IIM,around 6 years
106_20250215,Feb,0.5,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion","Q&A,Wrap,Price discussion,Price discussion","Yeah, Yeah yeah, audible, fine, questions, eligible, graduation, time, pursue investment bank, pursue investment, nationalised bank, investment bank, yeah, India, bank, bank in India, London Business School, Business School, London Business, School, London, Business, Yeah, started preparing, Yeah, alright, Ritu, user interface, videos, weeks, interface, studied, top B school, minimum score, secure a seat, seat in top, yeah, school, minimum, score, yeah, touch, planning, start, tomorrow, planning to start, start from tomorrow, wanted to confirm, commit, wanted, confirm, Amrut","approval,gratitude",No Info,No Info,No Info,No Info
107_20250215,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Price discussion,Price discussion,Agent drawing up plan,Explaining product,Price discussion","chance Mana, Mana to watch, time Yeah yeah, Yeah, addressing the time, Mana, time Yeah, shared Yeah, Yeah, video, shared is video, Friday, shared, reshare, months, years, Yeah, mental support, support, works, basic understanding, basic, understanding, mental, Yeah, video, start, life, years, verbal, videos, life class, fine Yeah, Yeah, correct, fine, mental support, basically, modules, stage, Yeah, start, planning to start, Visa card, Visa, card, fine, planning, Bye, doubt, message by tomorrow, tomorrow, expect, message, expect a message","approval,gratitude,optimism",No Info,No Info,No Info,No Info
108_20250216,Feb,0.5,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Agent maintained confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Agent drawing up plan,Explaining product,Price discussion","completed my degree, financial department, June, Yeah, library, completed, degree, working, July end, September intake, July, apply in June, September, end because September, intake, yeah, Yeah, pie chart, May. Yeah, pie, chart, average, problem, fine, Yeah, concept, question, doubt, process, questions, mentally exhausted, time, Yeah, questions, yeah, cleared, knew, month, side, two-month, access, wanted, LMP expert, start working, target score, LMP, working, Yeah, Yep, forward","approval,gratitude,optimism,optimism",No Info,No Info,No Info,No Info
109_20250216,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Prospect’s performance,Agent drawing up plan,Explaining product,Price discussion","highest educational qualification, highest educational, educational qualification, MBA, Institute of Management, role specifically, Management, Institute, questions, point of preparation, solve, solve the questions, preparation till, GMAT official guide, time, official guide till, Yeah, questions, time, question, perfect, giving, mock, feel, Yeah makes sense, makes sense, Yeah, Yeah makes, correct, sense, till, makes, Yeah, level of learning, yeah, pretty, pretty good, learning, adapts, level, plan, Yeah, start today, today, start, recording, great, pretty, thing","approval,approval,gratitude,optimism,optimism,optimism",Europe,No Info,"Co Institute of Management, GMAT, HCL Tech",2025
10_20250107,Jan,0.3,"Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent catered to the prospect needs with clarity during product explanation","Price discussion,Agent drawing up plan,Explaining product,Price discussion","background of Quons, major in mathematics, Quons, mathematics, background, major, reading, yeah, January to March, Denmark, date that January, looked, March, January, approximately, months, entire quant, arithmetic and algebra, sectional marks, order to make, quant in order, quant, stage, achieved, long class structure, recording sessions, class structure, broken into component, long class, Alright, long, sessions, architecture, kind, explaining, understand the costing, extend, understand, costing, duration, access, reverse, months, guys provide guidance, GMATA support, preparation of GMATA, guys provide, provide guidance, final touch, touch I wanted, Bye","optimism,optimism",No Info,No Info,No Info,No Info
110_20250216,Feb,0.5,"Prospect showed positive emotion (hope or confidence or etc.) during wrap-up/Q&A, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Agent drawing up plan,Explaining product,Price discussion","full time, time to recover, yeah, time, time to full, full, weekends, recover, working professional, logged, Yeah, video, professional, asked, question, working, Yeah, Amrit, videos, give, Amrit after completing, Amrit, completing the exam, watch this video, Yeah, told, results, program, , Yeah, give, time","approval,admiration,optimism,optimism,optimism",No Info,No Info,No Info,No Info
111_20250216,Feb,0.2,Prospect showed positive emotions (more than 2) during wrap-up/Q&A,"Q&A,Wrap","Amrit, quant and DILR, CAT, quant, DILR, yeah, fix, percentile in verbal, Yeah, Amrit, happier, mail, chat, videos, days, eventually, Yeah, moment, follow, mile, feedback, writing a GMAT, GMAT, follow up question, GMAT acid test, GMAT acid, students, acid test, test has suppose, dealt and mastered, mastered one section, live classes, Yeah, Mart, months, Yeah yeah, start, live, month, months yeah, yeah, problem yeah, problem, live, read, months life, WhatsApp, thing, lot Amrit, Amrit, lot, good day, yeah, day, good, hope","approval,gratitude,optimism",No Info,No Info,CAT,No Info
112_20250213,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Prospect’s performance,Agent drawing up plan,Explaining product,Price discussion","work at Mercy, Bangalore, Pranjal, Mercy, good, year, work, graduated, fresh graduate, GMAT, college, yeah, good, apply, abroad, top, yeah, Maharashtra, GMAC, resources, GMAT, speaking, edition, questions, Yeah, dedicate to gym, feel, months, dedicate, gym, 7:15, school, Scholar Indian, quiz portal, Indian, Scholar, quiz, portal, percentile full marks, Ghanteka, Perfect package, yeah, Perfect, package, doubts, WhatsApp, text, months, GMAT Club, work complimentary, GMAT, Club, website, complimentary, work, avail this offer","gratitude,gratitude,admiration,optimism,optimism,optimism",No Info,No Info,Mercy R&D,2024
113_20250217,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Price discussion,Agent drawing up plan,Explaining product,Price discussion","Yeah, Lucknow recently, great, nice, July, PSU, Lucknow, recently, GMAT Focus Edition, Focus Edition, Zimmet Focus Edition, Edition, start my prep, classic edition, GMAT Focus, day, Yeah, Perfect, medium and hard, questions, difficulty levels, easy, levels, medium, Yeah, files, past, day, DMAD, skip those files, access those files, approach will automatically, Weibo, perfect, Yeah, June, July, IMS, August, months, month, e-mail, yeah, Bye","approval,optimism,gratitude,optimism,optimism,optimism",No Info,No Info,No Info,2014
114_20250214,Feb,0.6,"Prospect showed positive emotion (hope or confidence or etc.) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained high confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Prospect’s performance,Agent drawing up plan,Explaining product,Price discussion","give, working, Yeah, Wi-Fi, word properly, properly, planning to move, thinking, score, Yeah, Great Lakes, Great Lakes Chennai, planning, problem, Dell Technologies, Great, back, score, prepared, CAT, correct, official GMAT, verbal, hours, Yeah, books, review, nice, give that exam, physical, physical books, exam, USD, yeah, month, today, free or multiply, free, multiply, dollar, separately, mocks, covered, buy, yeah, found your e-mail, found, e-mail, Yeah","gratitude,optimism,admiration,optimism,optimism,optimism",No Info,No Info,No Info,No Info
115_20250214,Feb,0.6,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent maintained confidence or relief near end, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Prospect’s performance,Agent drawing up plan,Explaining product,Price discussion","terms of questions, store in terms, MBA, year MBA, year, questions, time, clue, impacted by layoffs, unemployed, waste time, thing, impacted, layoffs, year, hours, Yeah, hours, hours per day, math, correct, Excel for years, Excel, Rishab, GMAT study plan, GMAT study, quickly show, study plan, GMAT, plan E GMAT, quickly, show, , doubt, interaction, sessions, doubt sessions, interaction like doubt, Bye, Sandeep","approval,gratitude,optimism,optimism",UK,No Info,No Info,No Info
116_20250217,Feb,0.7,"Prospect showed positive emotions (more than 2) during wrap-up/Q&A, Prospect showed willingness and curiosity in performance/targets discussions and Low stress or confusion during price discussion, Either prospect showed willingness and curiosity in performance/targets discussions or they had Low stress or confusion during price discussion, Agent catered to the prospect needs with clarity during product explanation","Q&A,Wrap,Price discussion,Price discussion,Agent drawing up plan,Explaining product,Price discussion","consulting firm, consulting, reason, qualified chartered accountant, chartered accountant, years, working, firm, give IELTS exam, IELTS exam, give IELTS, IELTS, European student yesterday, days, August, questions, fine, Nat, referred, questions, Nat teaching, nice, sufficiency, data sufficiency, primary topics, secondary topics, topics, Yeah, topics I call, call, primary, secondary, GMAT, giving GMAT cat, GMAT part, giving GMAT, GMAT cat, beautiful, pool of questions, questions, Scholarships, happy to assist, assist in whichever, reason, MBA class, class, MBA, number, Bye, AIMS, AIMS doctors, pertinent, reason, pursue the GMAT, pertinent compared, MBA","joy,gratitude,optimism","Paris, India, US",diploma,"CIA, GMAT, INR, CAT, MBBS, ILDS, NMAT","2.5 years, the 1st"
